espn_id,full_name,nationality,current_team,league,date_of_birth,age,star_sign,position,image_url
93193,Fraser Forster,England,AFC Bournemouth,Premier League,1988-03-17,38,Pisces,Goalkeeper,https://upload.wikimedia.org/wikipedia/commons/c/c0/Fraser%2520Forster%252009052026%2520%25281%2529.jpg
265140,Christos Mandas,Greece,AFC Bournemouth,Premier League,2001-09-17,24,Virgo,Goalkeeper,https://upload.wikimedia.org/wikipedia/commons/4/48/Christos_Mandas_09052026_%283%29.jpg
289824,Djordje Petrovic,Serbia,AFC Bournemouth,Premier League,1999-10-08,26,Libra,Goalkeeper,https://a.espncdn.com/i/headshots/soccer/players/full/289824.png
122268,Adam Smith,England,AFC Bournemouth,Premier League,1991-04-29,35,Taurus,Defender,https://upload.wikimedia.org/wikipedia/commons/a/a6/Chelsea%25200%2520Bournemouth%25201%2520%25284%2529%2520-%2520%25D0%25BA%25D0%25BE%25D0%25BF%25D0%25B8%25D1%258F.jpg
233945,Marcos Senesi,Argentina,AFC Bournemouth,Premier League,1997-05-10,29,Taurus,Defender,https://a.espncdn.com/i/headshots/soccer/players/full/233945.png
279155,James Hill,England,AFC Bournemouth,Premier League,2002-01-10,24,Capricorn,Defender,
282675,Bafodé Diakité,France,AFC Bournemouth,Premier League,2001-01-06,25,Capricorn,Defender,https://upload.wikimedia.org/wikipedia/commons/6/67/Bafod%25C3%25A9%2520Diakit%25C3%25A9%2520asse%2520losc%25202425%2520%2528cropped%2529.jpg
305684,Adrien Truffert,France,AFC Bournemouth,Premier League,2001-11-20,24,Scorpio,Defender,https://upload.wikimedia.org/wikipedia/commons/9/91/Lens%2520-%2520Stade%2520Rennais%2520%252820-08-2023%2529%252014.jpg
337023,Matai Akinmboni,USA,AFC Bournemouth,Premier League,2006-10-17,19,Libra,Defender,https://a.espncdn.com/i/headshots/soccer/players/full/337023.png
339797,Julio Soler,Argentina,AFC Bournemouth,Premier League,2005-02-16,21,Aquarius,Defender,https://upload.wikimedia.org/wikipedia/commons/a/a3/Julio%2520Soler%25202025.jpg
348298,Owen Bevan,Wales,AFC Bournemouth,Premier League,2003-10-26,22,Scorpio,Defender,
367861,Álex Jiménez,Spain,AFC Bournemouth,Premier League,2005-05-08,21,Taurus,Defender,https://upload.wikimedia.org/wikipedia/commons/3/32/Alex_Jimenez_00-02-07.99.png
377736,Veljko Milosavljevic,Serbia,AFC Bournemouth,Premier League,2007-06-28,18,Cancer,Defender,https://upload.wikimedia.org/wikipedia/commons/7/72/Veljko_Milosavljevi%C4%87_with_AFC_Bournemouth.png
72487,David Brooks,Wales,AFC Bournemouth,Premier League,1997-07-08,28,Cancer,Midfielder,https://upload.wikimedia.org/wikipedia/commons/b/bb/David%2520Brooks%2520in%25202024.png
93435,Ryan Christie,Scotland,AFC Bournemouth,Premier League,1995-02-22,31,Pisces,Midfielder,https://upload.wikimedia.org/wikipedia/commons/a/a2/Ryan_Christie_%28cropped%29.jpg
222776,Tyler Adams,USA,AFC Bournemouth,Premier League,1999-02-14,27,Aquarius,Midfielder,https://a.espncdn.com/i/headshots/soccer/players/full/222776.png
223452,Lewis Cook,England,AFC Bournemouth,Premier League,1997-02-03,29,Aquarius,Midfielder,https://upload.wikimedia.org/wikipedia/commons/4/4a/Lewis%2520Cook%2520Leeds.jpg
243364,Marcus Tavernier,England,AFC Bournemouth,Premier League,1999-03-22,27,Aries,Midfielder,https://upload.wikimedia.org/wikipedia/commons/0/00/Marcus_Tavernier_2022.jpg
314790,Alex Scott,England,AFC Bournemouth,Premier League,2003-08-21,22,Leo,Midfielder,https://upload.wikimedia.org/wikipedia/commons/2/20/Alex%2520Scott%2520BBC%2520Sport%252001%252006%25202019%2520%2528cropped%2529.jpg
360149,Alex Tóth,Hungary,AFC Bournemouth,Premier League,2005-10-23,20,Scorpio,Midfielder,https://upload.wikimedia.org/wikipedia/commons/b/b5/Tothtur.jpg
415281,Malcom Dacosta,Ecuador,AFC Bournemouth,Premier League,2008-04-17,18,Aries,Midfielder,
417995,Charlie Stevens,Wales,AFC Bournemouth,Premier League,2007-05-31,19,Gemini,Midfielder,
102368,Evanilson,Brazil,AFC Bournemouth,Premier League,1999-10-06,26,Libra,Forward,https://upload.wikimedia.org/wikipedia/commons/e/e2/Evanilson_2024.jpg
218122,Enes Ünal,Türkiye,AFC Bournemouth,Premier League,1997-05-10,29,Taurus,Forward,https://upload.wikimedia.org/wikipedia/commons/6/65/Enes%2520%25C3%259Cnal%25202024.png
245916,Justin Kluivert,Netherlands,AFC Bournemouth,Premier League,1999-05-05,27,Taurus,Forward,https://upload.wikimedia.org/wikipedia/commons/6/68/Justin%2520Kluivert%25202023.jpg
291613,Amine Adli,Morocco,AFC Bournemouth,Premier League,2000-05-10,26,Taurus,Forward,https://upload.wikimedia.org/wikipedia/commons/9/98/Amine%2520Adli%252009052026%2520%25281%2529.jpg
332948,Ben Gannon-Doak,Scotland,AFC Bournemouth,Premier League,2005-11-11,20,Scorpio,Forward,https://upload.wikimedia.org/wikipedia/commons/8/83/Ben_Gannon-Doak_09052026_%281%29.jpg
357719,Rayan,Brazil,AFC Bournemouth,Premier League,2006-08-03,19,Leo,Forward,https://upload.wikimedia.org/wikipedia/commons/d/d2/Rayan_2026.png
